정류소 이름,정류소 ID,총 승차,총 하차,카드 승차,카드 하차,현금 승차,일평균 승하차,총 승차 대비 총 하차,총 하차 대비 총 승차,카드 승차 대비 카드 하차,카드 하차 대비 카드 승차,현금 승차 대비 카드 승차,카드 승차 대비 현금 승차
GS칼텍스주유소,39814.0,189,22,189,22,0,6,11.64021164021164,859.0909090909091,11.64021164021164,859.0909090909091,,0.0
HD현대인프라코어,36081.0,650,1662,650,1662,0,74,255.6923076923077,39.10950661853189,255.6923076923077,39.10950661853189,,0.0
HD현대인프라코어,36083.0,2429,921,2429,921,0,108,37.91683820502264,263.73507057546146,37.91683820502264,263.73507057546146,,0.0
HD현대인프라코어후문,36077.0,5,864,5,864,0,28,17280.0,0.5787037037037037,17280.0,0.5787037037037037,,0.0
HD현대인프라코어후문,36078.0,3869,603,3866,603,3,144,15.585422589816488,641.6252072968491,15.597516813243661,641.1276948590381,128866.66666666667,0.0775995861355406
JC회관,37383.0,4227,4280,4227,4280,0,274,101.25384433404305,98.76168224299066,101.25384433404305,98.76168224299066,,0.0
JST기술연구소,89491.0,1,1753,1,1753,0,56,175300.0,0.057045065601825436,175300.0,0.057045065601825436,,0.0
JST기술연구소,89492.0,511,38,504,38,7,17,7.436399217221135,1344.7368421052631,7.5396825396825395,1326.3157894736842,7200.0,1.3888888888888888
KCC아파트,42391.0,2117,1369,2115,1369,2,112,64.66698157770429,154.63842220598977,64.72813238770686,154.49233016800585,105750.0,0.09456264775413711
KG스틸,42008.0,2501,4482,2499,4482,2,225,179.20831667333067,55.80098170459616,179.3517406962785,55.75635876840697,124950.0,0.08003201280512205
KTX광명역4번출구,58057.0,2453,19,2453,19,0,79,0.7745617611088463,12910.526315789473,0.7745617611088463,12910.526315789473,,0.0
KT부평지사,40381.0,10354,6854,10297,6854,57,555,66.19663898010431,151.0650714911001,66.5630766242595,150.23344032681644,18064.912280701752,0.553559289113334
KT부평지사,40384.0,7492,13000,7487,13000,5,661,173.51841964762414,57.63076923076923,173.63429945238414,57.592307692307685,149740.0,0.06678242286630158
KT서인천지사,42932.0,1696,2671,1696,2671,0,140,157.48820754716982,63.49681767128417,157.48820754716982,63.49681767128417,,0.0
KT서인천지사,42933.0,1736,996,1736,996,0,88,57.373271889400925,174.29718875502007,57.373271889400925,174.29718875502007,,0.0
KT송도지점,38568.0,803,457,803,457,0,40,56.911581569115825,175.71115973741794,56.911581569115825,175.71115973741794,,0.0
KT온수분국,43523.0,646,203,643,203,3,27,31.424148606811148,318.22660098522164,31.57076205287714,316.7487684729064,21433.333333333336,0.46656298600311047
KT인천공항지사,35095.0,235,38,235,38,0,8,16.170212765957448,618.421052631579,16.170212765957448,618.421052631579,,0.0
KT인천공항지사,35109.0,6820,3080,6810,3080,10,319,45.16129032258064,221.42857142857144,45.22760646108664,221.10389610389612,68100.0,0.14684287812041116
KT인천지사,37415.0,6311,4591,6302,4591,9,351,72.74599904927904,137.46460466129383,72.84988892415106,137.2685689392289,70022.22222222222,0.14281180577594416
KT인천지사,39319.0,8313,4661,8300,4661,13,418,56.06880789125466,178.3522849173997,56.1566265060241,178.07337481227202,63846.153846153844,0.15662650602409636
KT중동지사,55081.0,835,181,835,181,0,32,21.676646706586826,461.3259668508287,21.676646706586826,461.3259668508287,,0.0
KT중동지사,55082.0,165,1045,165,1045,0,39,633.3333333333333,15.789473684210526,633.3333333333333,15.789473684210526,,0.0
LG마그나,89029.0,5951,2736,5951,2736,0,280,45.9754663081835,217.50730994152048,45.9754663081835,217.50730994152048,,0.0
LG마그나,89264.0,2809,5323,2809,5323,0,262,189.49804200783197,52.77099380048844,189.49804200783197,52.77099380048844,,0.0
LG물류센터,39043.0,343,151,343,151,0,15,44.02332361516035,227.1523178807947,44.02332361516035,227.1523178807947,,0.0
LG물류센터,39044.0,84,515,84,515,0,19,613.0952380952382,16.310679611650485,613.0952380952382,16.310679611650485,,0.0
LG전자(주),42297.0,4690,4351,4690,4351,0,291,92.77185501066099,107.79131234199035,92.77185501066099,107.79131234199035,,0.0
LH1단지,35494.0,9444,4155,9440,4155,4,438,43.99618805590851,227.29241877256317,44.01483050847458,227.19614921780988,236000.0,0.0423728813559322
LH1단지,35495.0,4954,6606,4954,6606,0,372,133.3467904723456,74.99243112322131,133.3467904723456,74.99243112322131,,0.0
LH49단지행복주택아파트,35768.0,760,1461,760,1461,0,71,192.23684210526315,52.01916495550992,192.23684210526315,52.01916495550992,,0.0
LH49단지행복주택아파트,35769.0,1993,890,1993,890,0,93,44.65629703963874,223.93258426966293,44.65629703963874,223.93258426966293,,0.0
LH7단지,35451.0,3602,2114,3602,2114,0,184,58.689616879511384,170.3878902554399,58.689616879511384,170.3878902554399,,0.0
LH7단지,35452.0,2275,3678,2275,3678,0,192,161.67032967032966,61.854268624252306,161.67032967032966,61.854268624252306,,0.0
LH미추홀3단지,37222.0,3077,6372,3041,6372,36,304,207.08482287942803,48.28939108600125,209.53633673133837,47.72441933458882,8447.222222222223,1.183821111476488
LH미추홀3단지,37635.0,6524,2785,6513,2785,11,300,42.68853464132434,234.25493716337522,42.76063258099187,233.85996409335726,59209.09090909091,0.16889298326424076
LH웨스턴블루힐정문,89184.0,1655,3810,1655,3810,0,176,230.21148036253777,43.43832020997375,230.21148036253777,43.43832020997375,,0.0
LH웨스턴블루힐정문,89185.0,4259,3551,4257,3551,2,251,83.3763794317915,119.93804562095185,83.41555085741132,119.8817234581808,212850.0,0.04698144233027954
NKG물류센터,89212.0,226,40,226,40,0,8,17.699115044247787,565.0,17.699115044247787,565.0,,0.0
SK.GS주유소,89230.0,1334,1507,1332,1507,2,91,112.96851574212894,88.52023888520239,113.13813813813813,88.38752488387524,66600.0,0.15015015015015015
SK.GS주유소,89231.0,1762,2014,1762,2014,0,121,114.30192962542564,87.4875868917577,114.30192962542564,87.4875868917577,,0.0
SKLPG충전사업소,35636.0,775,19,769,19,6,25,2.4516129032258065,4078.947368421053,2.4707412223667102,4047.3684210526317,12816.666666666666,0.7802340702210664
SKLPG충전사업소,35638.0,14,715,0,715,14,23,5107.142857142857,1.9580419580419581,,0.0,0.0,
SK뷰아파트,42888.0,1345,5079,1345,5079,0,207,377.6208178438662,26.481590864343374,377.6208178438662,26.481590864343374,,0.0
SK뷰아파트,42889.0,7009,1091,7009,1091,0,261,15.565701241261234,642.4381301558203,15.565701241261234,642.4381301558203,,0.0
SK스카이뷰,37601.0,329,29773,329,29773,0,971,9049.544072948327,1.1050280455446209,9049.544072948327,1.1050280455446209,,0.0
SK스카이뷰104동,37587.0,6922,52,6922,52,0,224,0.7512279687951459,13311.538461538461,0.7512279687951459,13311.538461538461,,0.0
SK스카이뷰109동,37607.0,7557,71,7557,71,0,246,0.9395262670371841,10643.661971830985,0.9395262670371841,10643.661971830985,,0.0
SK인천석유화학,42767.0,1265,675,1265,675,0,62,53.359683794466406,187.4074074074074,53.359683794466406,187.4074074074074,,0.0
SK인천석유화학,42768.0,376,755,376,755,0,36,200.79787234042553,49.80132450331126,200.79787234042553,49.80132450331126,,0.0
SK주유소,42956.0,486,494,486,494,0,31,101.64609053497942,98.38056680161942,101.64609053497942,98.38056680161942,,0.0
SK주유소앞,35287.0,1511,129,1508,129,3,52,8.537392455327597,1171.3178294573643,8.554376657824934,1168.9922480620155,50266.66666666667,0.1989389920424403
SK주유소앞,35539.0,70,1358,70,1358,0,46,1939.9999999999998,5.154639175257731,1939.9999999999998,5.154639175257731,,0.0
SK충전소,35085.0,27,2161,21,2161,6,70,8003.7037037037035,1.2494215640906987,10290.476190476189,0.9717723276260991,350.0,28.57142857142857
e편한세상 정문,38624.0,20973,1577,20959,1577,14,727,7.519191341248272,1329.9302473050095,7.524213941504843,1329.0424857324033,149707.14285714287,0.06679708001335942
e편한세상(109동 앞),32062.0,811,1438,811,1438,0,72,177.31196054254008,56.39777468706537,177.31196054254008,56.39777468706537,,0.0
e편한세상(109동앞),38643.0,1088,509,1088,509,0,51,46.783088235294116,213.7524557956778,46.783088235294116,213.7524557956778,,0.0
e편한세상1차(정문),35662.0,577,976,577,976,0,50,169.15077989601386,59.11885245901639,169.15077989601386,59.11885245901639,,0.0
e편한세상1차(정문),35663.0,1455,540,1455,540,0,64,37.11340206185567,269.44444444444446,37.11340206185567,269.44444444444446,,0.0
e편한세상계양,41037.0,13975,3655,13957,3655,18,568,26.153846153846157,382.3529411764706,26.187576126674788,381.8604651162791,77538.88888888889,0.12896754316830264
e편한세상계양,41038.0,5484,14307,5475,14307,9,638,260.8862144420131,38.33088697840218,261.31506849315065,38.26798070874397,60833.333333333336,0.16438356164383564
e편한세상부평그랑힐스정문,40928.0,4356,615,4356,615,0,160,14.118457300275484,708.2926829268292,14.118457300275484,708.2926829268292,,0.0
e편한세상부평그랑힐스정문,40929.0,481,5945,481,5945,0,207,1235.966735966736,8.090832632464256,1235.966735966736,8.090832632464256,,0.0
e편한세상부평그랑힐스후문,40930.0,4791,389,4791,389,0,167,8.119390523898977,1231.6195372750644,8.119390523898977,1231.6195372750644,,0.0
e편한세상영종센텀베뉴정문,35510.0,1317,4339,1317,4339,0,182,329.46089597570233,30.35261581009449,329.46089597570233,30.35261581009449,,0.0
e편한세상영종오션하임,35674.0,1733,655,1733,655,0,77,37.795729948066935,264.58015267175574,37.795729948066935,264.58015267175574,,0.0
e편한세상영종오션하임,35761.0,705,1557,705,1557,0,72,220.85106382978722,45.27938342967245,220.85106382978722,45.27938342967245,,0.0
e편한세상영종하늘도시,35646.0,566,551,566,551,0,36,97.34982332155478,102.72232304900182,97.34982332155478,102.72232304900182,,0.0
e편한세상영종하늘도시,35647.0,234,408,234,408,0,20,174.35897435897436,57.35294117647059,174.35897435897436,57.35294117647059,,0.0
gym80fitness,37081.0,2600,902,2587,902,13,112,34.69230769230769,288.24833702882484,34.86664089679165,286.8070953436807,19900.0,0.5025125628140703
가경공원,89365.0,1106,601,1106,601,0,55,54.33996383363472,184.02662229617303,54.33996383363472,184.02662229617303,,0.0
가구단지사거리,37455.0,2837,3560,2837,3560,0,206,125.48466690165667,79.69101123595506,125.48466690165667,79.69101123595506,,0.0
가구단지사거리,37456.0,2875,2091,2871,2091,4,160,72.7304347826087,137.49402199904353,72.83176593521421,137.30272596843616,71775.0,0.13932427725531174
가구전시장,42072.0,349,598,349,598,0,30,171.34670487106015,58.36120401337793,171.34670487106015,58.36120401337793,,0.0
가구전시장,42074.0,843,490,843,490,0,43,58.12574139976275,172.0408163265306,58.12574139976275,172.0408163265306,,0.0
가나안마을앞,43904.0,2,15,1,15,1,0,750.0,13.333333333333334,1500.0,6.666666666666667,100.0,100.0
가나안마을앞,43905.0,35,0,35,0,0,1,0.0,,0.0,,,0.0
가능포,43969.0,6,8,5,8,1,0,133.33333333333331,75.0,160.0,62.5,500.0,20.0
가능포,43970.0,4,13,3,13,1,0,325.0,30.76923076923077,433.3333333333333,23.076923076923077,300.0,33.33333333333333
가림고등학교,42078.0,13539,13269,13498,13269,41,864,98.00576113450033,102.03481799683473,98.30345236331308,101.7258271158339,32921.9512195122,0.30374870351163136
가야,42807.0,1127,5,1127,5,0,36,0.44365572315882873,22540.0,0.44365572315882873,22540.0,,0.0
가야,42808.0,6,1436,6,1436,0,46,23933.333333333336,0.4178272980501393,23933.333333333336,0.4178272980501393,,0.0
가오대입구,80033.0,130,435,126,435,4,18,334.61538461538464,29.88505747126437,345.23809523809524,28.965517241379313,3150.0,3.1746031746031744
가오대입구,80034.0,101,718,100,718,1,26,710.8910891089109,14.066852367688023,718.0,13.92757660167131,10000.0,1.0
가원초등학교,42952.0,6228,4419,6224,4419,4,343,70.95375722543352,140.93686354378818,70.99935732647815,140.84634532699707,155600.0,0.06426735218508997
가원초등학교,89118.0,2611,5641,2611,5641,0,266,216.04749138261204,46.28611948236128,216.04749138261204,46.28611948236128,,0.0
가재우물터,35678.0,6,14,6,14,0,0,233.33333333333334,42.857142857142854,233.33333333333334,42.857142857142854,,0.0
가재우물터,35700.0,4,10,4,10,0,0,250.0,40.0,250.0,40.0,,0.0
가재울사거리,42039.0,2403,5499,2401,5499,2,254,228.83895131086143,43.69885433715221,229.0295710120783,43.662484088016,120050.0,0.08329862557267806
가재울사거리,42042.0,8745,4959,8735,4959,10,442,56.706689536878216,176.34603750756202,56.771608471665715,176.14438394837669,87350.0,0.11448196908986834
가재울역,42034.0,2432,3068,2426,3068,6,177,126.1513157894737,79.26988265971316,126.46331409727946,79.07431551499347,40433.33333333333,0.24732069249793898
가재울역,42035.0,3593,2058,3570,2058,23,182,57.27804063456722,174.58697764820215,57.647058823529406,173.46938775510205,15521.739130434782,0.6442577030812324
가정(루원시티)역,89050.0,6896,54311,6896,54311,0,1974,787.572505800464,12.697243652298798,787.572505800464,12.697243652298798,,0.0
가정(루원시티)역,89051.0,74442,9389,74442,9389,0,2704,12.612503694151151,792.8639897752689,12.612503694151151,792.8639897752689,,0.0
가정(루원시티)역,89075.0,75350,88662,75323,88662,27,5290,117.66688785666888,84.98567593783132,117.70906628785364,84.95522320723647,278974.0740740741,0.03584562484234563
가정(루원시티)역,89078.0,82655,71477,82646,71477,9,4972,86.47631722218861,115.63859703121284,86.48573433681001,115.62600556822476,918288.8888888889,0.0108898192290008
가정3동성당,42226.0,353,3218,353,3218,0,115,911.614730878187,10.969546302050963,911.614730878187,10.969546302050963,,0.0
가정LH3단지정문앞,89041.0,18765,4325,18746,4325,19,744,23.04822808419931,433.87283236994216,23.071588605569186,433.4335260115607,98663.15789473684,0.10135495572388775
가정고등학교,42200.0,11989,4403,11912,4403,77,528,36.72533155392443,272.2916193504429,36.96272666218939,270.54281171928227,15470.12987012987,0.6464069845533915
가정고등학교,42203.0,3284,7766,3276,7766,8,356,236.4799025578563,42.28689157867628,237.05738705738705,42.18387844450167,40950.0,0.2442002442002442
가정교,89502.0,142,1312,142,1312,0,46,923.943661971831,10.823170731707316,923.943661971831,10.823170731707316,,0.0
가정교,89503.0,2210,338,2210,338,0,82,15.294117647058824,653.8461538461538,15.294117647058824,653.8461538461538,,0.0
가정교차로,89390.0,469,915,469,915,0,44,195.09594882729212,51.256830601092894,195.09594882729212,51.256830601092894,,0.0
