정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
만수종합시장,39592,8628,21950,8566,21950,62,986
만수주공1단지,39401,3156,3282,3156,3282,0,207
만수주공320동앞,39431,1457,1714,1457,1714,0,102
만수주공4단지,39440,8126,5545,8116,5545,10,441
만수주공4단지,39443,10179,9190,10168,9190,11,624
만수주공정문,39408,10273,7844,10242,7844,31,584
만수주공정문,39410,2963,3281,2953,3281,10,201
만수주공후문,39435,4303,10365,4293,10365,10,473
만수주공후문,39438,13396,3866,13342,3866,54,556
만수중(대토단지),39400,284,1423,284,1423,0,55
만수중학교후문,39745,131,884,131,884,0,32
만수초등학교,39303,1569,4956,1569,4956,0,210
만수초등학교,39307,659,863,657,863,2,49
만수치안센터,39455,826,485,826,485,0,42
만월종합사회복지관,92065,3,1550,3,1550,0,50
만월중학교,39962,2145,335,2145,335,0,80
만월중학교,39963,128,2578,128,2578,0,87
만의골입구,39666,73,85,73,85,0,5
만의골입구,39672,1,74,1,74,0,2
만정낚시터,35682,132,57,132,57,0,6
만정낚시터,35696,8,81,8,81,0,2
만정낚시터입구,35683,40,82,39,82,1,3
만정낚시터입구,35695,74,65,74,65,0,4
망양돈대,90224,2,27,2,27,0,0
망양돈대,90225,22,5,21,5,1,0
망월3리,43332,165,112,164,112,1,8
망월3리,43580,0,37,0,37,0,1
망월입구,43117,3,0,3,0,0,0
망월입구,43576,17,35,17,35,0,1
망월입구,43790,9,25,9,25,0,1
망월종점,43788,3,10,3,10,0,0
매음1리마을회관,90173,15,24,15,24,0,1
매음1리마을회관,90174,23,7,22,7,1,0
매음3리마을회관(민머루),90321,13,10,13,10,0,0
매음3리마을회관(민머루),90322,26,1,25,1,1,0
매제미고개,43837,17,10,17,10,0,0
매제미고개,43988,2,7,2,7,0,0
먼우금사거리,38114,6680,5237,6665,5237,15,384
먼우금초등학교,38021,3278,11160,3278,11160,0,465
메이루즈커낼파크뷰,42747,3632,9918,3626,9918,6,437
메이루즈커낼파크뷰,42762,10554,3774,10550,3774,4,462
메이루즈커낼파크뷰정문,42794,4094,4429,4094,4429,0,274
메제미,43302,135,24,134,24,1,5
메제미,43598,22,104,22,104,0,4
면사무소입구,90018,13,184,13,184,0,6
면사무소입구,90019,103,12,99,12,4,3
면허시험장,39006,1922,1842,1922,1842,0,121
명가빌라(회차),37553,2701,2250,2673,2250,28,159
명보주택앞,43979,5,17,5,17,0,0
명보주택앞,43984,56,11,53,11,3,2
명신여자고등학교,40289,17952,4996,17946,4996,6,740
명신여자고등학교,40291,5418,12502,5416,12502,2,578
명신초등학교,43394,130,0,130,0,0,4
명신초등학교,43803,3,118,3,118,0,3
명진부페,43323,0,1,0,1,0,0
명진부페,43632,23,20,23,20,0,1
명현중학교,41405,2558,7817,2558,7817,0,334
명현초등학교,41559,5988,1758,5988,1758,0,249
명현초등학교,41560,1314,4335,1314,4335,0,182
명현초등학교(효성지구대),41069,9,923,7,923,2,30
모다아울렛,89190,2495,3146,2495,3146,0,181
모래내시장,39295,14748,13195,14730,13195,18,901
모래내시장,39298,12982,10551,12952,10551,30,759
모래내시장,39344,6755,6293,6755,6293,0,420
모래내시장,39350,11986,13001,11965,13001,21,806
모래내시장역(1번출구),39338,11550,9642,11532,9642,18,683
모래내시장역(2번출구),39909,9843,12382,9839,12382,4,716
모래내시장역(3번출구),39339,35202,33794,35145,33794,57,2225
모래내시장역(4번출구),39335,2115,6275,2109,6275,6,270
모래방죽사거리,89228,1800,1182,1800,1182,0,96
모래방죽사거리,89229,3477,3413,3472,3413,5,222
모름말,90255,4,0,3,0,1,0
모름말,90311,2,8,2,8,0,0
모리부락입구,90304,13,0,13,0,0,0
모아아파트,70033,248,652,248,652,0,29
모아아파트.세종프라자,70034,638,260,638,260,0,28
모현,43659,3,292,3,292,0,9
모현,43689,276,8,274,8,2,9
목개마을,90153,2,10,2,10,0,0
목개마을,90154,28,17,28,17,0,1
목너머,35863,50,9,50,9,0,1
목너머,35864,3,36,3,36,0,1
목련어린이집,40824,10053,3408,10045,3408,8,434
목비고개,43032,55,167,55,167,0,7
목비고개,43272,236,94,236,94,0,10
목상교입구,41493,21,0,21,0,0,0
목상교입구,41519,0,17,0,17,0,0
목상교차로,41636,10,281,10,281,0,9
목상교차로,41637,203,2853,203,2853,0,98
목상동(새봄농원입구),41323,0,41,0,41,0,1
목상동(새봄농원입구),41324,72,8,72,8,0,2
목상동마을입구,41318,1,172,1,172,0,5
목상동마을입구,41517,161,13,161,13,0,5
목상동솔밭.이주단지입구,41316,1241,91,1235,91,6,42
목상동솔밭.이주단지입구,41317,95,836,95,836,0,30
목장앞,43503,0,7,0,7,0,0
목장앞,43688,9,2,9,2,0,0
목재단지,42036,423,466,423,466,0,28
목재부두사거리,42949,1,320,1,320,0,10
목재부두사거리,42960,79,43,79,43,0,3
목화빌라,37545,0,438,0,438,0,14
목화예식장,39446,15422,13314,15422,13314,0,926
목화예식장,39448,13746,19263,13712,19263,34,1064
무내미마을,39496,366,764,364,764,2,36
무내미마을,40106,188,2705,187,2705,1,93
무선내,44199,24,18,24,18,0,1
무의공영주차장,35871,5,13,5,13,0,0
무의도입구,35001,3038,242,3038,242,0,105
무의도입구,35002,407,3312,407,3312,0,119
무의도주민자치센터,35738,400,55,398,55,2,14
무의도주민자치센터,35739,25,219,25,219,0,7
무지개.한양8차아파트,40271,6701,4069,6701,4069,0,347
무지개.한양8차아파트,40276,5993,9670,5993,9670,0,505
무지개아파트,38366,3603,2734,3599,2734,4,204
무지개아파트(동남아파트),38042,6372,1244,6363,1244,9,245
무학리입구,90276,45,41,45,41,0,2
묵골,43498,19,5,17,5,2,0
묵골,43684,14,23,7,23,7,1
문남마을,38250,8043,5098,8043,5098,0,423
문남초등학교,38214,2399,2136,2399,2136,0,146
문남초등학교,38216,2507,3486,2507,3486,0,193
문말3거리,44084,4,0,2,0,2,0
문말삼거리,44001,262,15,262,15,0,8
문말삼거리,44002,28,260,28,260,0,9
문산교회앞,43340,20,34,16,34,4,1
문산교회앞,43589,40,50,30,50,10,2
문산리마을회관,43101,79,320,78,320,1,12
문일여고·하우스토리만수아파트,39313,1362,4142,1361,4142,1,177
문일여고·하우스토리만수아파트,39314,5529,808,5521,808,8,204
문일여자고등학교후문,39685,2603,3694,2602,3694,1,203
문학경기장(X게임장),37643,66,206,66,206,0,8
문학경기장(박태환수영장),38310,3662,2307,3656,2307,6,192
문학경기장(박태환수영장),38311,908,4135,908,4135,0,162
문학경기장(박태환수영장),38329,1502,1476,1502,1476,0,96
문학경기장(박태환수영장),38423,781,1450,780,1450,1,71
문학경기장(야구장),37144,5553,11440,5536,11440,17,548
문학경기장(월드컵경기장),37157,4727,9216,4723,9216,4,449
문학경로당,37087,4935,2990,4935,2990,0,255
문학경로당,37088,4344,3660,4344,3660,0,258
문학고개,37056,2595,2794,2595,2794,0,173
문학고개,37057,2831,3333,2831,3333,0,198
문학고개,37101,3502,4159,3483,4159,19,247
문학우체국,37520,3967,5046,3967,5046,0,290
문학우체국,37521,5182,3044,5182,3044,0,265
문학정보고입구,37107,4338,5733,4338,5733,0,324
문학정보고입구,37108,6537,2291,6537,2291,0,284
