정류소 이름,정류소 ID,총 승차,총 하차,카드 승차,카드 하차,현금 승차,일평균 승하차,총 승차 대비 총 하차,총 하차 대비 총 승차,카드 승차 대비 카드 하차,카드 하차 대비 카드 승차,현금 승차 대비 카드 승차,카드 승차 대비 현금 승차
2001아울렛,40159.0,30061,13803,29691,13803,370,1462,45.91663617311467,217.78598855321306,46.488835000505205,215.1054118669854,8024.594594594595,1.2461688727223739
2001아울렛,40162.0,11275,21322,11099,21322,176,1086,189.10864745011088,52.87965481662133,192.10739706279844,52.05421630241066,6306.25,1.5857284440039643
2001아울렛부평점,40158.0,5076,2654,4894,2654,182,257,52.28526398739165,191.2584777694047,54.22966898242746,184.40090429540317,2689.010989010989,3.7188393951777683
2차풍림아이원,42584.0,45,11032,31,11032,14,369,24515.555555555555,0.40790427846265404,35587.096774193546,0.2810007251631617,221.42857142857144,45.16129032258064
3단지,40736.0,409,1758,384,1758,25,72,429.8288508557457,23.265073947667805,457.8125,21.843003412969285,1536.0,6.510416666666667
3단지관리사무소,40107.0,1998,543,1982,543,16,84,27.177177177177175,367.9558011049724,27.39656912209889,365.00920810313073,12387.5,0.8072653884964682
41번구종점,42174.0,1940,6323,1896,6323,44,275,325.92783505154637,30.681638462755025,333.4915611814346,29.985766250197692,4309.090909090909,2.320675105485232
510번차고지,36145.0,785,281,785,281,0,35,35.796178343949045,279.3594306049822,35.796178343949045,279.3594306049822,,0.0
540번종점,39470.0,3560,20,3506,20,54,119,0.5617977528089888,17800.0,0.5704506560182544,17530.0,6492.592592592592,1.540216771249287
6공단사거리,37577.0,481,2571,476,2571,5,101,534.5114345114345,18.708673667833526,540.1260504201681,18.51419681057954,9520.0,1.050420168067227
6공단입구,37442.0,624,1107,603,1107,21,57,177.40384615384613,56.36856368563685,183.5820895522388,54.47154471544715,2871.4285714285716,3.482587064676617
6공단입구,37443.0,1275,1594,1231,1594,44,95,125.01960784313727,79.98745294855709,129.48822095857025,77.2271016311167,2797.7272727272725,3.5743298131600327
8부두,35181.0,302,2760,263,2760,39,102,913.9072847682119,10.942028985507246,1049.4296577946768,9.528985507246377,674.3589743589744,14.82889733840304
8부두,35182.0,1750,4821,1685,4821,65,219,275.48571428571427,36.2995229205559,286.1127596439169,34.95125492636382,2592.3076923076924,3.857566765578635
CJ인천2공장,35591.0,222,2944,205,2944,17,105,1326.126126126126,7.540760869565218,1436.09756097561,6.963315217391304,1205.8823529411764,8.292682926829269
CJ인천2공장,35592.0,2235,67,2223,67,12,76,2.9977628635346756,3335.820895522388,3.013945119208277,3317.9104477611945,18525.0,0.5398110661268556
E편한세상,42453.0,3484,2592,3405,2592,79,202,74.39724454649827,134.4135802469136,76.12334801762115,131.36574074074073,4310.126582278481,2.320117474302496
E편한세상,42649.0,1330,2571,1320,2571,10,130,193.30827067669173,51.73084402956049,194.77272727272728,51.34189031505251,13200.0,0.7575757575757576
E편한세상,42726.0,2867,1402,2834,1402,33,142,48.90129054761074,204.49358059914408,49.47071277346507,202.1398002853067,8587.878787878788,1.1644318983768525
GM물류센터,40568.0,503,1481,490,1481,13,66,294.4333996023857,33.96353814989872,302.2448979591837,33.08575286968264,3769.2307692307695,2.6530612244897958
GS25편의점,36142.0,988,2290,933,2290,55,109,231.78137651821862,43.14410480349345,245.4448017148982,40.74235807860262,1696.3636363636365,5.894962486602358
GS내리주유소,44147.0,3,0,3,0,0,0,0.0,,0.0,,,0.0
GS칼텍스,35168.0,594,59,573,59,21,21,9.932659932659933,1006.7796610169491,10.296684118673648,971.1864406779661,2728.5714285714284,3.664921465968586
GS칼텍스,35557.0,8,2406,8,2406,0,80,30075.0,0.3325020781379884,30075.0,0.3325020781379884,,0.0
GS칼텍스,89220.0,54,121,49,121,5,5,224.0740740740741,44.62809917355372,246.93877551020407,40.49586776859504,980.0000000000001,10.204081632653061
GS칼텍스,89224.0,54,1710,52,1710,2,58,3166.666666666667,3.1578947368421053,3288.4615384615386,3.0409356725146197,2600.0,3.8461538461538463
GS칼텍스주유소,39814.0,162,15,157,15,5,5,9.25925925925926,1080.0,9.554140127388536,1046.6666666666667,3140.0,3.1847133757961785
HD현대인프라코어,36081.0,775,1854,770,1854,5,87,239.2258064516129,41.80151024811219,240.77922077922076,41.53182308522114,15400.0,0.6493506493506493
HD현대인프라코어,36083.0,2555,1227,2518,1227,37,126,48.02348336594912,208.2314588427058,48.729150119142176,205.21597392013038,6805.405405405405,1.4694201747418585
HD현대인프라코어후문,36077.0,45,803,10,803,35,28,1784.4444444444446,5.603985056039851,8030.0,1.2453300124533,28.57142857142857,350.0
HD현대인프라코어후문,36078.0,4220,845,4211,845,9,168,20.023696682464458,499.4082840236686,20.06649251959155,498.3431952662722,46788.88888888889,0.21372595582996914
JC회관,37383.0,4327,4390,4251,4390,76,290,101.45597411601572,98.56492027334852,103.26981886614914,96.83371298405467,5593.421052631579,1.787814631851329
KCC아파트,42391.0,1430,1079,1399,1079,31,83,75.45454545454545,132.53012048192772,77.1265189421015,129.65708989805375,4512.903225806452,2.215868477483917
